title,x,y,cluster
The Hate U Give,-0.00592122092465501,-0.04658777115526152,2
Some Like It Hot,0.005605971371649322,-0.006751194794887573,1
"Miraculous World: New York, United HeroeZ",-0.06594536390762006,-0.0899097898980103,3
The Invisible Guest,0.05391432925091734,-0.03440288162897597,3
Eternal Sunshine of the Spotless Mind,-0.015086462338008155,-0.00816749370167166,3
The Best of Youth,-0.041679080995193046,-0.043813206753924264,0
Children of Paradise,-0.026827954207321227,-0.03124060055441797,0
Harry Potter and the Deathly Hallows: Part 2,0.07330488341799729,-0.02479293064254868,1
La Haine,-0.004554293545633536,-0.005021593698220925,0
Das Boot,0.012490806536911599,-0.021007252887102673,0
The Tale of The Princess Kaguya,-0.04660137079693649,0.007987536495983423,2
Far from the Tree,0.2569238217865814,-0.06241901129102219,0
Purple Hearts,-0.00048720279063742614,-0.02226815596427166,1
All About Eve,-0.04958347767123389,-0.05132467166721699,2
There Will Be Blood,0.11206893659224405,-0.0468025345308565,1
Along with the Gods: The Two Worlds,0.18954613966115055,-0.08205449921955527,3
My Neighbor Totoro,-0.03642499509834994,0.021290505580332793,1
M,0.16841568219318725,-0.05159280770023464,3
The Thing,0.004945010981622859,0.09981879437421455,0
La Dolce Vita,0.004240610511444625,-0.030510697066879033,0
Along with the Gods: The Last 49 Days,0.1513131963117188,-0.007075651980159617,1
To Live,-0.10493865131349639,-0.014579527659158781,1
2001: A Space Odyssey,-0.06002469020597055,-0.05420996741342413,0
Look Back,0.06303520441074131,-0.022735908162255822,2
"Three Billboards Outside Ebbing, Missouri",-0.07195478304084142,-0.04411326785901305,2
Prayers for Bobby,0.11847312006187992,0.059951473512111796,3
Pride & Prejudice,0.005496387464003568,0.06748897019748484,3
KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,-0.024544969323246447,0.010189152696676713,1
Memories of Murder,0.03636040720517175,-0.04359932499819549,0
A Taxi Driver,-0.05762433205390857,0.07558750277825532,3
Memoir of a Snail,-0.021755407842879642,0.026380940523277146,1
Sherlock Jr.,-0.020365695734801296,0.03854179069051795,3
A Dog's Journey,-0.09743485081637113,-0.10033600903556524,0
Elite Squad,-0.01831276934767163,-0.028372060816794088,0
Rashomon,-0.01491358168670744,0.034123076752655836,0
Ran,0.015703507488021736,0.08251264174960647,3
Oppenheimer,0.00871285095898295,-0.018923838496081122,0
Transformers One,0.007939748035611122,0.11781272228834579,0
Hidden Figures,-0.05324609651860125,0.09347168989865882,0
Transformers One,0.020618345404597165,-0.06712036034901103,0
A Special Day,0.02939651166251583,0.009191642408372832,0
The Elephant Man,-0.004364839933554951,-6.687986511336348e-05,0
Guillermo del Toro's Pinocchio,0.05181905206729283,-0.11428835243037028,3
The Young and the Damned,-0.0036078404883866932,-0.00027589284308373674,0
Lion,-0.04290044488782967,0.07203795082784771,3
Me Against You: Mr. S's Vendetta,0.1253096635131773,-0.019486458918256046,1
Ayla: The Daughter of War,0.057882630938458385,-0.015491588582972744,3
The Grand Budapest Hotel,-0.010977075338777929,0.06474781760976567,0
My Name Is Khan,-0.025697809047374145,0.09387148880005676,3
The Lives of Others,-0.03917502435365247,-0.0057951649497959765,3
The Second Mother,-0.05630867509806883,0.011799328442679783,2
On My Skin,0.03631620707092023,0.016433162092559957,0
Bo Burnham: Make Happy,0.00278099241123329,0.058071158815041525,3
The Sting,-0.062398903714637105,-0.04988263275904709,3
Bo Burnham: Inside,-0.06136604495419554,-0.04711147870078281,3
The Wolf of Wall Street,-0.03559474937704071,-0.029950867214103623,0
Judgment at Nuremberg,-0.0135167249099525,0.037850675170572355,0
How to Train Your Dragon,-0.04732460623880305,0.07004365498703635,0
How to Train Your Dragon: Homecoming,0.01919512818050804,-0.05046308218786926,1
"Veinteañera, divorciada y fantástica",0.1138066576232487,0.013418484938699488,2
Amadeus,0.09476750738886124,-0.07120628520967986,0
Flipped,-0.07678718454217538,0.027982672997840522,3
The 400 Blows,-0.035437687142655855,-0.053546082160289075,3
"Toto, Peppino, and the Hussy",0.033028318344590364,-0.016571486477621408,1
Scooby-Doo! and Kiss: Rock and Roll Mystery,-0.053107675724254,0.006490397653839856,0
For a Few Dollars More,0.01228190324127239,0.023728822050690632,3
"Rome, Open City",-0.07184252948838077,-0.07840990398722045,0
The Wages of Fear,0.025034470279962653,0.11658124887373425,1
Paper Lives,0.0669393184306778,-0.011882854596461292,3
Late Spring,0.12694326560183156,0.0557576255872313,2
Requiem for a Dream,-0.04510184033286689,-0.0539492528819991,1
Dial M for Murder,-0.017526234425589305,-0.03918067822854317,3
Rocco and His Brothers,-0.051579551924370415,-0.03783674604388124,2
Robot Dreams,0.13202922161181335,-0.013928000695880106,3
Hachi: A Dog's Tale,-0.036218690779691934,0.12350772254007705,0
Harry Potter and the Prisoner of Azkaban,-0.0016753946300859142,-0.05632491659457774,0
Gifted,-0.08211885013763841,-0.03365171485759135,3
Ford v Ferrari,-0.010670972874442287,-0.06788954535253582,0
Song of the Sea,0.0027826536358431728,0.16463729861483262,1
Love Hurts,-0.03259898340874251,0.02479809078149294,1
American Beauty,0.01911899772328527,0.006507645247263487,3
Black Beauty,-0.01715235470871591,-0.021014193573323972,0
Barry Lyndon,-0.020722561045517365,0.20712922723011554,3
Weathering with You,0.13691460829418264,-0.05962907367427611,3
Jojo Rabbit,0.21890682571537218,-0.047805255251109104,3
Room,0.20761598960890063,-0.03133504407168343,0
3 Idiots,-0.04519073419735682,-0.0612521109576173,0
Kill Bill: The Whole Bloody Affair,0.0036588542632733125,0.04242047046367844,2
Citizen Kane,0.01561184069263778,0.043535061460296384,3
Casino,-0.0017247912552453525,0.025469155228465514,3
Lawrence of Arabia,0.0057548017785165155,-0.044978423800855726,0
Beyond the Universe,-0.03682840830427597,0.020327582932086086,2
Ugetsu,-0.009637949206267614,0.10298867236217414,1
Society of the Snow,0.03080640383902012,0.010472684784991684,0
The Imitation Game,-0.025240753443417283,0.07082263141109744,0
Tae Guk Gi: The Brotherhood of War,0.014664932693389565,-0.03416238374344887,0
Paperman,0.07283231517970057,-0.008759500348659629,3
"Love, Simon",0.009788331240324516,-0.031051118168061935,3
Loving Vincent,0.014079765779413368,-0.01124592925066482,3
The Deer Hunter,-0.07800099278568302,-0.07078024992430687,1
To Kill a Mockingbird,-0.004816548184249439,0.044059342945360375,1
Bingo: The King of the Mornings,0.0044293952689099005,0.07600982659256048,3
Gran Torino,-0.05803603691488142,-0.06299984043812797,3
El mesero,-0.02216932413546228,0.07118953135650297,3
1917,0.08575788044524466,-0.00012502698088679093,0
In a Heartbeat,-0.02516820897666688,0.028096365144126927,3
Cruella,-0.022068451982083907,-0.016396553371548755,2
Nights of Cabiria,-0.10936939599263973,-0.09094578510935038,2
Sound of Freedom,0.0412742355669114,0.03179480978197614,3
Like Stars on Earth,-0.01347758582910549,-0.04415757495687146,3
The Gold Rush,0.192120570079535,-0.004801702074605714,0
The Passion of Joan of Arc,0.15779372627474095,-0.05113327790745251,2
North by Northwest,0.020054118776971455,0.07057572248791989,3
The Count of Monte Cristo,-0.055429477726741935,-0.045354233111275524,3
Catch Me If You Can,-0.046608493362111605,0.017859287081992675,3
